customer_id,Recency,Frequency,Monetary,Cluster,discount_amount,category,Recency_scaled,Frequency_scaled,Monetary_scaled,discount_amount_scaled,category_scaled,new_Cluster,segment
CUST00001,108,6,2955.57,0,1082.9973,3,0.244932309,1.095150489,0.190689979,0.748683512,0.514836618,4,Potential Big Spenders
CUST00002,41,1,581,2,133.63,1,-0.591305223,-1.003173935,-0.924833019,-0.921892447,-1.072328294,2,New/churn customers
CUST00003,172,1,649.98,1,305.4906,1,1.043726369,-1.003173935,-0.892427667,-0.619473998,-1.072328294,0,At-Risk/dormant Segment
CUST00004,132,1,1604.04,1,256.6464,1,0.544480082,-1.003173935,-0.444230363,-0.705423815,-1.072328294,2,New/churn customers
CUST00005,39,4,2550.91,0,1102.1179,2,-0.616267537,0.255820719,0.00058923,0.782329514,-0.278745838,3,loyal customers
CUST00006,52,5,3770.16,0,1192.1467,3,-0.454012494,0.675485604,0.573367213,0.940750759,0.514836618,4,Potential Big Spenders
CUST00007,4,1,719.33,2,129.4794,1,-1.053108039,-1.003173935,-0.859848497,-0.929196145,-1.072328294,2,New/churn customers
CUST00008,48,4,2747.33,0,738.2767,4,-0.503937123,0.255820719,0.092863211,0.142087996,1.308419074,3,loyal customers
CUST00009,32,1,376.85,2,184.6565,1,-0.703635638,-1.003173935,-1.020738391,-0.832102495,-1.072328294,2,New/churn customers
CUST00010,10,1,636.8,2,286.56,1,-0.978221096,-1.003173935,-0.898619354,-0.652785662,-1.072328294,2,New/churn customers
CUST00011,2,2,925.07,2,142.0195,2,-1.078070354,-0.58350905,-0.763196176,-0.907129671,-0.278745838,2,New/churn customers
CUST00012,51,2,2051.63,2,603.8228,1,-0.466493651,-0.58350905,-0.233962003,-0.094506895,-1.072328294,2,New/churn customers
CUST00013,62,3,1754.44,2,401.7615,2,-0.329200922,-0.163844165,-0.373575609,-0.450068699,-0.278745838,3,loyal customers
CUST00014,52,11,8130.16,3,1887.0818,5,-0.454012494,3.193474912,2.62160343,2.163609257,2.10200153,1,Discount-Sensitive customers
CUST00015,36,4,4200.93,0,1207.477,3,-0.653711009,0.255820719,0.775733891,0.967727073,0.514836618,3,loyal customers
CUST00016,216,1,478.02,1,105.1644,1,1.592897286,-1.003173935,-0.973210855,-0.971982593,-1.072328294,0,At-Risk/dormant Segment
CUST00017,287,3,1699.14,4,408.5515,3,2.479059447,-0.163844165,-0.399554385,-0.43812052,0.514836618,0,At-Risk/dormant Segment
CUST00018,112,1,329.21,1,118.5156,1,0.294856938,-1.003173935,-1.04311866,-0.948488848,-1.072328294,2,New/churn customers
CUST00019,10,2,1598.93,2,214.8195,1,-0.978221096,-0.58350905,-0.446630934,-0.77902548,-1.072328294,2,New/churn customers
CUST00020,369,3,4487.95,4,474.6669,3,3.502514337,-0.163844165,0.910569845,-0.321779039,0.514836618,0,At-Risk/dormant Segment
CUST00021,78,2,1059.3,2,481.5525,2,-0.129502407,-0.58350905,-0.700137748,-0.309662634,-0.278745838,2,New/churn customers
CUST00022,30,1,454.06,2,140.7586,1,-0.728597952,-1.003173935,-0.984466759,-0.909348442,-1.072328294,2,New/churn customers
CUST00023,22,1,400.98,2,100.245,1,-0.82844721,-1.003173935,-1.009402625,-0.980639128,-1.072328294,2,New/churn customers
CUST00024,5,1,481.35,2,163.659,1,-1.040626882,-1.003173935,-0.971646491,-0.869051228,-1.072328294,2,New/churn customers
CUST00025,166,7,4868.86,3,1491.3098,4,0.968839426,1.514815373,1.089513344,1.467179974,1.308419074,4,Potential Big Spenders
CUST00026,73,3,3561.39,0,622.4937,2,-0.191908193,-0.163844165,0.475291462,-0.061652217,-0.278745838,3,loyal customers
CUST00027,71,1,2128.34,2,638.502,1,-0.216870507,-1.003173935,-0.19792526,-0.033482845,-1.072328294,2,New/churn customers
CUST00028,84,2,1489.78,2,299.5478,2,-0.054615464,-0.58350905,-0.497907306,-0.629931382,-0.278745838,2,New/churn customers
CUST00029,19,8,5252.9,3,1267.4751,3,-0.865890681,1.934480258,1.269927252,1.073304107,0.514836618,4,Potential Big Spenders
CUST00030,6,6,3435.59,0,1136.303,5,-1.028145725,1.095150489,0.41619327,0.84248411,2.10200153,4,Potential Big Spenders
CUST00031,50,1,672.95,2,161.508,1,-0.478974808,-1.003173935,-0.881636845,-0.872836284,-1.072328294,2,New/churn customers
CUST00032,34,3,1948.75,2,677.4655,3,-0.678673323,-0.163844165,-0.282292862,0.035080172,0.514836618,3,loyal customers
CUST00033,13,4,2128.09,0,915.0808,4,-0.940777625,0.255820719,-0.198042705,0.453205389,1.308419074,3,loyal customers
CUST00034,51,6,3353.01,0,776.9538,3,-0.466493651,1.095150489,0.377398925,0.210147043,0.514836618,3,loyal customers
CUST00035,128,3,1369.71,1,234.0937,3,0.494555453,-0.163844165,-0.554313664,-0.745109191,0.514836618,3,loyal customers
CUST00036,28,4,1737.33,0,621.479,4,-0.753560267,0.255820719,-0.381613527,-0.063437757,1.308419074,3,loyal customers
CUST00037,103,1,435.83,1,187.4069,1,0.182526523,-1.003173935,-0.993030829,-0.82726269,-1.072328294,2,New/churn customers
CUST00038,52,4,2104.61,0,673.9674,4,-0.454012494,0.255820719,-0.209073115,0.028924661,1.308419074,3,loyal customers
CUST00039,16,3,1598.49,2,429.5287,3,-0.903334153,-0.163844165,-0.446837636,-0.401207508,0.514836618,3,loyal customers
CUST00040,155,1,634.73,1,241.1974,1,0.831546697,-1.003173935,-0.899591796,-0.732609003,-1.072328294,2,New/churn customers
CUST00041,55,4,1911.86,0,700.4244,3,-0.416569022,0.255820719,-0.299623007,0.075480328,0.514836618,3,loyal customers
CUST00042,88,9,7523.74,3,1396.7708,5,-0.004690835,2.354145142,2.33672008,1.300822252,2.10200153,1,Discount-Sensitive customers
CUST00043,25,1,363.01,2,156.0943,1,-0.791003738,-1.003173935,-1.027240132,-0.882362626,-1.072328294,2,New/churn customers
CUST00044,73,3,2724.09,0,987.7627,2,-0.191908193,-0.163844165,0.081945548,0.581101762,-0.278745838,3,loyal customers
CUST00045,97,1,413.75,2,136.5375,1,0.10763958,-1.003173935,-1.003403548,-0.916776198,-1.072328294,2,New/churn customers
CUST00046,128,1,489.87,1,63.6831,1,0.494555453,-1.003173935,-0.967643974,-1.044976115,-1.072328294,2,New/churn customers
CUST00047,205,1,764.43,1,122.3088,1,1.455604557,-1.003173935,-0.838661466,-0.941814056,-1.072328294,0,At-Risk/dormant Segment
CUST00048,62,4,2450.45,0,713.7812,3,-0.329200922,0.255820719,-0.046604763,0.098983927,0.514836618,3,loyal customers
CUST00049,9,1,380.83,2,178.9901,1,-0.990702253,-1.003173935,-1.018868671,-0.842073506,-1.072328294,2,New/churn customers
CUST00050,1,3,2466.39,2,804.5656,3,-1.090551511,-0.163844165,-0.039116487,0.258734781,0.514836618,3,loyal customers
CUST00051,211,4,4444.3,4,1338.6672,3,1.5304915,0.255820719,0.890063994,1.198578919,0.514836618,4,Potential Big Spenders
CUST00052,56,3,2807.14,0,643.1359,2,-0.404087865,-0.163844165,0.12096069,-0.025328696,-0.278745838,3,loyal customers
CUST00053,26,4,4192.59,0,1215.6347,3,-0.778522581,0.255820719,0.771815935,0.982081957,0.514836618,3,loyal customers
CUST00054,7,1,489.85,2,122.4625,1,-1.015664568,-1.003173935,-0.96765337,-0.941543594,-1.072328294,2,New/churn customers
CUST00055,4,3,1308.35,2,319.3266,2,-1.053108039,-0.163844165,-0.5831393,-0.595127163,-0.278745838,2,New/churn customers
CUST00056,10,4,3530.41,0,1064.4064,3,-0.978221096,0.255820719,0.46073771,0.715969608,0.514836618,3,loyal customers
CUST00057,137,2,2510.83,1,518.9891,2,0.606885868,-0.58350905,-0.01823951,-0.243786462,-0.278745838,0,At-Risk/dormant Segment
CUST00058,43,4,2451.54,0,614.2196,3,-0.566342909,0.255820719,-0.046092704,-0.076211927,0.514836618,3,loyal customers
